Banane,551
Yaourt nature,712
Yaourt à la grecque,627
Charlotte aux Fruits,511
Tarte aux Fruits,519
Fraisier,870
Tarte aux Fruits,711
Yaourt à la grecque,362
Yaourt à la grecque,395
Fraisier,371
Mille-Feuille,482
Ile flottante,368
Ile flottante,447
Orange,310
Ile flottante,418
Kiwi,430
Yaourt à la grecque,520
Yaourt à la grecque,334
Ile flottante,361
Banane,7488
Yaourt à la grecque,558
Mille-Feuille,800
Banane,423
Charlotte aux Fruits,350
Yaourt nature,563
Tarte aux Fruits,889
Charlotte aux Fruits,665
Mille-Feuille,738
Charlotte aux Fruits,413
Mille-Feuille,655
Mille-Feuille,387
Mille-Feuille,314
Charlotte aux Fruits,266
Mille-Feuille,495
Fraisier,348
Banane,523
Yaourt nature,354
Charlotte aux Fruits,359
Yaourt nature,297
Fraisier,293
Fraisier,447
Mangue,399
Kiwi,569
Ile flottante,701
Yaourt à la grecque,506
Tarte aux Fruits,632
Mangue,345
Yaourt à la grecque,339
Mille-Feuille,418
Mille-Feuille,480
Charlotte aux Fruits,426
Yaourt nature,348
Mille-Feuille,350
Mille-Feuille,317
Yaourt à la grecque,486
Ile flottante,362
Fraisier,383
Yaourt à la grecque,376
Charlotte aux Fruits,410
Yaourt à la grecque,301
Tarte aux Fruits,387
Mille-Feuille,344
Fraisier,473
Ile flottante,434
Yaourt à la grecque,332
Ile flottante,508
Mangue,337
Orange,291
Mille-Feuille,310
Yaourt nature,290
Tarte aux Fruits,635
Yaourt nature,317
Fraisier,152
Charlotte aux Fruits,324
Mille-Feuille,480
Tarte aux Fruits,348
Yaourt nature,644
Orange,547
Tarte au chocolat,769
Charlotte aux Fruits,503
Charlotte aux Fruits,646
