Sundae,1496
Tarte aux Fruits,1038
Compote,1019
Sundae,792
Charlotte aux Fruits,918
Salade de Fruits,810
Crème dessert à la vanille,929
Yaourt à la grecque,1199
Charlotte aux Fruits,1401
Tarte poires amandes,1045
Crème dessert à la vanille,788
Yaourt nature,2192
Charlotte aux Fruits,1173
Tarte poires amandes,1359
Charlotte aux Fruits,862
Sorbet,1339
Tarte poires amandes,715
Charlotte aux Fruits,942
Glace,1825
Charlotte aux Fruits,37
Milk-Shake,734
Tarte poires amandes,618
Charlotte aux Fruits,857
Salade de Fruits,2156
Milk-Shake,8353
Yaourt nature,757
Yaourt nature,467
Charlotte aux Fruits,677
Yaourt aux fruits,1466
Yaourt aux fruits,584
Tarte aux Fruits,2459
Yaourt à la grecque,666
Yaourt à la grecque,1005
Milk-Shake,716
Yaourt nature,828
Yaourt nature,561
Sorbet,841
Salade de Fruits,605
Tarte poires amandes,667
Charlotte aux Fruits,879
Compote,591
Yaourt à la grecque,966
Yaourt à la grecque,748
Yaourt aux fruits,963
Tarte aux Fruits,1438
Sundae,772
Tarte poires amandes,791
Yaourt aux fruits,740
Tarte poires amandes,510
Tarte aux Fruits,633
Crème dessert à la vanille,686
Tarte aux Fruits,429
Glace,417
Sundae,436
Salade de Fruits,1575
Crème dessert à la vanille,1558
Crème dessert à la vanille,449
Crème dessert à la vanille,396
Compote,381
Tarte aux Fruits,351
Tarte poires amandes,455
Charlotte aux Fruits,356
Crème dessert à la vanille,596
Crème dessert à la vanille,2459
Yaourt nature,2015
Yaourt à la grecque,1097
Glace,445
Tarte aux Fruits,661
Glace,476
Compote,644
Yaourt aux fruits,412
Sundae,453
Milk-Shake,362
Milk-Shake,419
Crème dessert à la vanille,388
Tarte poires amandes,544
Charlotte aux Fruits,338
Compote,689
Compote,765
Yaourt aux fruits,504
Salade de Fruits,457
