Crème Caramel,651
Crêpe à la confiture,616
Crêpe à la confiture,405
Madeleine,513
Madeleine,358
Tiramisu,371
Madeleine,587
Yaourt nature,322
Crème Caramel,407
Pomme,362
Crêpe à la confiture,278
Riz au lait,401
Milk-Shake,273
Milk-Shake,313
Riz au lait,304
Riz au lait,420
Riz au lait,379
Riz au lait,346
Crème Caramel,321
Crème Caramel,331
Charlotte aux Fruits,386
Crème Caramel,783
Tiramisu,416
Crêpe à la confiture,537
Smoothie,353
Tiramisu,384
Milk-Shake,283
Smoothie,283
Riz au lait,468
Tiramisu,1036
Crème Caramel,314
Milk-Shake,431
Tiramisu,85
Crème Caramel,463
Madeleine,310
Riz au lait,295
Cookie,450
Crème Caramel,468
Madeleine,1391
Riz au lait,747
Crème Caramel,424
Crêpe à la confiture,370
Riz au lait,302
Cookie,476
Crêpe à la confiture,315
Cookie,415
Smoothie,491
Cookie,1668
Crêpe à la confiture,1062
Charlotte aux Fruits,1379
Crêpe à la confiture,369
Yaourt à la grecque,311
Yaourt nature,373
Meringue,861
Yaourt nature,8085
Charlotte aux Fruits,648
Charlotte aux Fruits,755
Madeleine,380
Riz au lait,494
Milk-Shake,469
Milk-Shake,591
Pomme,2373
Madeleine,725
Crème Caramel,599
Milk-Shake,1437
Crêpe à la confiture,442
Madeleine,327
Crème Caramel,401
Cookie,556
Smoothie,345
Tiramisu,1567
Tiramisu,732
Crème Caramel,271
Milk-Shake,365
Tiramisu,731
Smoothie,380
Madeleine,587
Crêpe à la confiture,398
Cookie,374
Pomme,305
Yaourt à la grecque,1163
