Banane,925
Pomme,2834
Crêpe au chocolat,5076
Pomme,2037
Ile flottante,10407
Litchi,912
Opéra,1655
Mille-Feuille,843
Meringue,1287
Meringue,710
Sorbet,621
Crème Caramel,1128
Banane,1535
Mangue,1482
Banane,1333
Crêpe au chocolat,2302
Crêpe au chocolat,1779
Litchi,3901
Crème Caramel,638
Fraisier,947
Litchi,1698
Crêpe à la confiture,2091
Crêpe à la confiture,1034
Meringue,1441
Opéra,3412
Fraisier,1898
Crème Caramel,3690
Fraisier,920
Crêpe à la confiture,1911
Fraisier,1628
Litchi,2053
Fraisier,521
Fraisier,3069
Mille-Feuille,1661
Sorbet,5417
Litchi,1918
Flan aux œufs,6176
Fraisier,794
Flan aux œufs,2803
Ile flottante,1051
Flan aux œufs,1362
Pomme,1837
Meringue,1090
Crêpe au chocolat,1336
Crêpe à la confiture,7964
Ile flottante,3882
Ile flottante,3218
Banane,421
Sorbet,5069
Mille-Feuille,6749
Pomme,1561
Meringue,574
Opéra,3725
Pomme,7644
Opéra,686
Crème Caramel,1865
Litchi,500
Mangue,1813
Litchi,2060
Mangue,6011
Mille-Feuille,4397
Crêpe au chocolat,1389
Opéra,3309
Fraisier,3707
Crêpe au chocolat,3941
Mille-Feuille,3712
Crêpe au chocolat,409
Crème Caramel,10348
Mangue,3231
Flan aux œufs,4738
Mangue,3493
Crème Caramel,1484
Banane,5115
Litchi,3402
Flan aux œufs,2288
Crêpe à la confiture,2735
Crêpe au chocolat,9735
Pomme,5204
Crêpe à la confiture,465
Sorbet,2127
Mille-Feuille,3764
