Tarte poires amandes,951
Chou à la crème,330
Tarte poires amandes,374
Brownie,507
Chou à la crème,620
Tarte aux Fruits,463
Tarte poires amandes,1072
Brownie,516
Milk-Shake,459
Clémentine,782
Riz au lait,365
Milk-Shake,282
Clémentine,1027
Cheesecake,1129
Brownie,392
Riz au lait,321
Salade de Fruits,383
Salade de Fruits,315
Clémentine,524
Milk-Shake,501
Milk-Shake,636
Milk-Shake,266
Charlotte aux Fruits,406
Cheesecake,474
Milk-Shake,987
Cheesecake,433
Clémentine,398
Cheesecake,725
Milk-Shake,2293
Salade de Fruits,3246
Cheesecake,1045
Pomme,2168
Brownie,1471
Chou à la crème,311
Brownie,494
Cheesecake,2630
Tarte poires amandes,896
Riz au lait,461
Chou à la crème,422
Brownie,263
Brownie,483
Tarte poires amandes,4432
Tarte poires amandes,1865
Milk-Shake,251
Riz au lait,262
Tarte aux Fruits,825
Chou à la crème,390
Salade de Fruits,408
Cheesecake,1863
Riz au lait,667
Riz au lait,687
Brownie,354
Chou à la crème,366
Tarte poires amandes,474
Tarte aux Fruits,473
Milk-Shake,560
Brownie,580
Chou à la crème,3685
Cheesecake,453
Milk-Shake,851
Riz au lait,541
Brownie,313
Tarte poires amandes,1200
Tarte aux Fruits,1065
Charlotte aux Fruits,349
Chou à la crème,425
Milk-Shake,600
Charlotte aux Fruits,463
Clémentine,517
Tarte poires amandes,648
Tarte aux Fruits,500
Milk-Shake,342
Brownie,469
Brownie,457
Cheesecake,519
Banane,347
Brownie,303
Cheesecake,346
Cheesecake,312
Milk-Shake,408
Cheesecake,427
