Meringue,628
Madeleine,336
Compote,288
Crème dessert à la vanille,327
Cookie,518
Sorbet,324
Ile flottante,1443
Banane,286
Crème dessert à la vanille,377
Crème dessert à la vanille,311
Riz au lait,340
Compote,299
Ile flottante,336
Meringue,292
Tarte aux Fruits,310
Meringue,308
Cookie,276
Compote,305
Madeleine,787
Banane,30
Compote,393
Madeleine,331
Riz au lait,383
Madeleine,338
Litchi,318
Madeleine,1068
Compote,754
Riz au lait,569
Riz au lait,301
Ile flottante,293
Tarte aux Fruits,351
Ile flottante,396
Compote,490
Crème dessert à la vanille,414
Sorbet,316
Cookie,435
Banane,598
Riz au lait,590
Meringue,302
Madeleine,316
Banane,299
Madeleine,377
Crème dessert à la vanille,324
Ile flottante,488
Riz au lait,336
Tarte aux Fruits,2827
Sorbet,325
Sorbet,561
Meringue,486
Madeleine,1403
Riz au lait,321
Liégeois,3
Ile flottante,315
Litchi,312
Liégeois,1101
Madeleine,519
Crème dessert à la vanille,1017
Banane,297
Ile flottante,359
Sorbet,388
Cookie,362
Crème dessert à la vanille,696
Litchi,709
Riz au lait,2411
Sorbet,292
Crème dessert à la vanille,402
Compote,336
Madeleine,366
Fraisier,326
Ile flottante,386
Liégeois,1314
Riz au lait,362
Banane,239
Madeleine,839
Meringue,301
Sorbet,2373
Liégeois,1251
Ile flottante,406
Litchi,357
Fraisier,54
Crème dessert à la vanille,332
