Glace,1058
Smoothie,708
Salade de Fruits,680
Chou à la crème,784
Cake aux Fruits,574
Tarte au citron meringuée,738
Chou à la crème,551
Crêpe à la confiture,1003
Tarte au citron meringuée,950
Chou à la crème,596
Tarte au citron meringuée,1336
Liégeois,798
Smoothie,1169
Liégeois,2322
Tarte au citron meringuée,2101
Smoothie,1098
Salade de Fruits,1035
Tarte au citron meringuée,743
Chou à la crème,815
Compote,623
Chou à la crème,792
Crêpe à la confiture,908
Smoothie,600
Glace,414
Tarte au citron meringuée,613
Chou à la crème,577
Orange,681
Cake aux Fruits,833
Chou à la crème,1003
Glace,360
Compote,426
Cake aux Fruits,1148
Quatre-Quart,1564
Crème Caramel,890
Orange,2627
Tarte au citron meringuée,1776
Tarte au citron meringuée,1925
Cake aux Fruits,365
Glace,407
Tarte au citron meringuée,580
Glace,1771
Salade de Fruits,888
Compote,538
Quatre-Quart,568
Liégeois,739
Liégeois,448
Salade de Fruits,710
Tarte au citron meringuée,1864
Tarte au citron meringuée,4280
Quatre-Quart,1406
Cake aux Fruits,758
Smoothie,805
Liégeois,1144
Quatre-Quart,576
Smoothie,3088
Glace,1569
Chou à la crème,920
Salade de Fruits,1042
Chou à la crème,3062
Salade de Fruits,835
Chou à la crème,1585
Liégeois,3508
Salade de Fruits,781
Compote,741
Cake aux Fruits,370
Smoothie,1622
Compote,481
Crème Caramel,699
Quatre-Quart,353
Smoothie,353
Chou à la crème,830
Compote,475
Compote,540
Salade de Fruits,1274
Tarte au citron meringuée,573
Tarte au citron meringuée,674
Chou à la crème,389
Salade de Fruits,912
Cake aux Fruits,863
Glace,393
Orange,923
