Quatre-Quart,946
Quatre-Quart,880
Sundae,575
Mangue,451
Smoothie,452
Tarte poires amandes,471
Yaourt aux fruits,392
Mangue,530
Quatre-Quart,653
Quatre-Quart,1475
Tarte poires amandes,530
Tarte poires amandes,893
Smoothie,627
Sablé à la noix de coco,502
Yaourt aux fruits,516
Raisin,565
Tarte poires amandes,625
Sablé à la noix de coco,1494
Yaourt aux fruits,2907
Glace,436
Quatre-Quart,1431
Chou à la crème,502
Yaourt aux fruits,408
Sablé à la noix de coco,517
Tarte poires amandes,467
Sablé à la noix de coco,732
Glace,496
Mangue,605
Glace,1488
Sorbet,625
Pomme,1540
Sundae,626
Fraise,1169
Yaourt aux fruits,4965
Sundae,363
Mangue,750
Tarte poires amandes,1121
Sundae,1478
Sundae,1470
Sundae,693
Quatre-Quart,3323
Smoothie,1456
Smoothie,4744
Sundae,1985
Yaourt aux fruits,937
Chou à la crème,1197
Quatre-Quart,1389
Chou à la crème,616
Yaourt aux fruits,578
Smoothie,486
Mangue,1147
Sundae,376
Sorbet,907
Sorbet,392
Sorbet,499
Sorbet,1081
Pomme,1560
Quatre-Quart,2274
Yaourt aux fruits,362
Sundae,555
Quatre-Quart,1319
Fraise,442
Tarte poires amandes,340
Tarte poires amandes,1037
Sundae,592
Sundae,294
Smoothie,381
Chou à la crème,369
Sorbet,837
Sorbet,1167
Yaourt aux fruits,677
Tarte poires amandes,789
Quatre-Quart,1110
Chou à la crème,169
Chou à la crème,464
Quatre-Quart,2813
Tarte poires amandes,474
Sundae,720
Quatre-Quart,763
Sundae,642
Chou à la crème,354
